Name,Latin name,Other names,Relative growing difficulty,Growing difficulty : Soil,Growing difficulty : Pests,Care difficulty,Height,Planting distance,Sowing depth,Coldest USDA hardiness zone,Category,Scientific family,Plant group,Can be harvested from year,Plant diseases,Pests,Soil PH,Preferred soil type,Sunshine needed,Soil drainage,Zone 2 - Time to plant,Zone 2 - Time to harvest,Zone 3 - Time to plant,Zone 3 - Time to harvest,Zone 4 - Time to plant,Zone 4 - Time to harvest,Zone 5 - Time to plant,Zone 5 - Time to harvest,Zone 6 - Time to plant,Zone 6 - Time to harvest,Zone 7 - Time to plant,Zone 7 - Time to harvest,Zone 8 - Time to plant,Zone 8 - Time to harvest,Zone 9 - Time to plant,Zone 9 - Time to harvest,Zone 10 - Time to plant,Zone 10 - Time to harvest,Zone 11 - Time to plant,Zone 11 - Time to harvest,Image URL
Erfurter Cauliflower,Brassica oleracea var. botrytis,,5,1,5,5,15,21,0.5,3,Flowers & flower buds,Brassicaceae,Cauliflower,0,"Black rot,Blackleg,Cabbage yellows,Clubroot,Purple blotch,","Cabbage aphids,Cabbage root maggots,Cabbage worms,Cutworms,Flea beetles,Slugs,Snails,","Neutral,Slightly acidic,","Loam,","Full sun,","Well-drained,",,,"April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/elecampane-inula-helenium-60x51.jpg
Fava Bean,Vicia faba,"Broad bean, faba bean, field bean, bell bean, tic bean",2,2,2,1,60,7.5,2.5,3,Podded,Fabaceae,Bean,0,"Broad bean rust,Chocolate spot,","Aphids,Black flies,Broad bean seed beetles,Mice,Pea and bean weevils,","Slightly acidic,","Loam,","Full sun,","Well-drained,",,,"July,June,May,","August,October,September,","July,June,May,","August,October,September,","June,May,","August,September,","April,June,May,","August,September,","April,June,May,","August,July,September,","April,June,May,","August,July,September,","April,March,October,September,","August,December,January,July,June,","April,March,October,September,","August,December,January,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/fava-bean-vicia-faba-60x45.jpg
Fennel,Foeniculum vulgare,,1,1,1,2,71,8,0.5,4,Bulb & stem,Apiaceae,No group,0,"No serious disease problems,","Aphids,Slugs,Snails,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,,,"April,June,May,","August,September,","April,June,May,","August,September,","April,March,May,","August,July,","April,March,May,","August,July,","April,February,March,","July,June,","April,February,March,October,September,","December,July,June,November,","February,January,March,","April,May,",,,https://cdn.sympathink.com/wp-content/uploads/fennel-foeniculum-vulgare-60x45.jpg
Flint Corn,Zea mays var. indurata,"Indian corn, calico corn",5,1,5,3,60,18,1,4,Flowers & flower buds,Poaceae ,Corn,0,"Rust,Smut,","Corn earworms,European corn borers,Seedcorn maggots,","Slightly acidic,","Loam,","Full sun,","Well-drained,",,,,,"June,","August,","May,","August,July,September,","May,","August,July,September,","May,","August,July,September,","April,","August,July,June,September,",,,,,,,https://cdn.sympathink.com/wp-content/uploads/flint-corn-zea-mays-indurata-60x40.jpg
Fordhook Giant Swiss Chard,Beta vulgaris,,1,4,1,2,28,6,0.5,3,Leaf,Amaranthaceae,Chard,0,"Downy mildew,Leaf spots,","Aphids,Leafminers,","Neutral,Slightly acidic,Slightly alkaline,","High in organic matter,Loam,","Full sun,","Well-drained,",,,"August,July,June,May,","August,July,June,October,September,","August,July,June,May,","August,July,June,October,September,","April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,May,September,","August,July,June,May,September,","April,August,July,June,May,September,","August,July,June,May,September,","April,August,February,July,June,March,May,October,September,","April,August,December,July,June,March,May,November,October,September,","April,August,February,July,June,March,May,October,September,","April,August,December,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/flint-corn-zea-mays-indurata-60x40.jpg
French Fingerling Potato,Solanum tuberosum (Phureja Group),,4,4,3,5,27,10,4,3,Root and tuberous,Solanaceae,Potato,0,"Early blight,Late blight,Scab,","Aphids,Colorado potato beetles,Flea beetles,Leafhoppers,","Acidic,","Sandy,","Full sun,","Loose,Well-drained,",,,"June,May,","August,July,October,September,","June,May,","August,July,October,September,","April,March,May,","August,July,June,May,October,September,","April,March,May,","August,July,June,May,October,September,","April,March,","August,July,June,May,September,","April,March,","August,July,June,May,September,","April,March,October,September,","August,December,July,June,May,November,October,September,","April,March,October,September,","August,December,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/french-fingerling-potato-solanum-tuberosum-60x45.jpg
French Green Lentil,Lens culinaris,,2,2,3,2,21,4.5,0.5,3,Podded,Fabaceae,Lentil,0,"Ascochyta blight,","Aphids,Weevils,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Loose,Well-drained,",,,"July,June,May,","August,October,September,","July,June,May,","August,October,September,","June,May,","August,September,","April,June,May,","August,September,","April,June,May,","August,July,September,","April,June,May,","August,July,September,","April,March,October,September,","August,December,January,July,June,","April,March,October,September,","August,December,January,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/french-green-lentil-lens-culinaris-60x40.jpg
Garlic,Allium sativum,,1,3,2,1,18,4,2,3,Bulb & stem,Amaryllidaceae,No group,1,"White rot,","No serious pest problems,","Neutral,Slightly acidic,","Loam,","Full sun,","Well-drained,",,,"October,September,","August,July,","October,September,","August,July,","October,September,","August,July,","November,October,","August,July,","November,October,","August,July,","November,October,","August,July,",,,,,,,https://cdn.sympathink.com/wp-content/uploads/garlic-allium-sativum-60x38.jpg
Genovese Basil,Ocimum basilicum,Sweet basil,2,4,2,2,18,11,0.5,3,Herbs,Lamiaceae,Basil,0,"Bacteria,Fungi,","Aphids,","Acidic,Alkaline,Neutral,","Loam,","Full sun,","Well-drained,",,,"April,June,March,May,","August,July,June,May,","April,June,March,May,","August,July,June,May,","April,March,May,","August,July,June,","April,March,May,","August,July,June,","April,February,March,May,","April,August,July,June,May,","April,February,March,May,","April,August,July,June,May,","April,December,February,January,March,","April,July,June,March,May,","April,December,February,January,March,","April,July,June,March,May,",,,https://cdn.sympathink.com/wp-content/uploads/genovese-basil-ocimum-basilicum-60x45.jpg
German Butterball Potato,Solanum tuberosum (Phureja Group),,4,4,3,5,27,10,4,3,Root and tuberous,Solanaceae,Potato,0,"Early blight,Late blight,Scab,","Aphids,Colorado potato beetles,Flea beetles,Leafhoppers,","Acidic,","Sandy,","Full sun,","Loose,Well-drained,",,,"June,May,","August,July,October,September,","June,May,","August,July,October,September,","April,March,May,","August,July,June,May,October,September,","April,March,May,","August,July,June,May,October,September,","April,March,","August,July,June,May,September,","April,March,","August,July,June,May,September,","April,March,October,September,","August,December,July,June,May,November,October,September,","April,March,October,September,","August,December,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/german-butterball-potato-solanum-tuberosum-60x40.jpg
German Pink Tomato,Solanum lycopersicum,,3,3,3,3,24,18,0.5,3,Fruits,Solanaceae,Tomato,0,"Blossom-end rot,Catface,Early blight,Fusarium wilt,Late blight,Verticillium wilt,","Aphids,Colorado potato beetles,Cutworms,Flea beetles,Tomato hornworms,Whiteflies,","Acidic,","Loam,","Full sun,","High moisture,Well-drained,",,,"April,June,March,May,","August,September,","April,June,March,May,","August,September,","April,March,May,","August,July,September,","April,March,May,","August,July,September,","April,February,March,May,","August,July,September,","April,February,March,May,","August,July,September,","April,August,February,January,July,June,March,May,September,","August,December,July,June,November,October,September,","April,August,February,January,July,June,March,May,September,","August,December,July,June,November,",,,https://cdn.sympathink.com/wp-content/uploads/german-pink-tomato-solanum-lycopersicum-60x40.jpg
Globe Basil,Ocimum basilicum,,2,4,2,2,18,11,0.5,3,Herbs,Lamiaceae,Basil,0,"Bacteria,Fungi,","Aphids,","Acidic,Alkaline,Neutral,","Loam,","Full sun,","Well-drained,",,,"April,June,March,May,","August,July,June,May,","April,June,March,May,","August,July,June,May,","April,March,May,","August,July,June,","April,March,May,","August,July,June,","April,February,March,May,","April,August,July,June,May,","April,February,March,May,","April,August,July,June,May,","April,December,February,January,March,","April,July,June,March,May,","April,December,February,January,March,","April,July,June,March,May,",,,https://cdn.sympathink.com/wp-content/uploads/globe-basil-ocimum-basilicum-60x45.jpg
Gold Rush Lettuce,Lactuca sativa,,5,5,5,5,10,8,0.5,3,Leaf,Amaranthaceae,Lettuce,0,"Damping off,Downy mildew,Fusarium,Mosaic virus,","Aphids,Cabbage loopers,Cutworms,Leafhoppers,Leafminers,Slugs,Wireworms,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,Part shade,","High moisture,Well-drained,",,,"April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,November,October,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,September,","April,August,December,February,January,July,June,March,May,October,September,","April,August,December,February,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,October,September,","April,August,December,February,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/globe-basil-ocimum-basilicum-60x45.jpg
Goliath Broccoli,Brassica oleracea var. italica,,4,1,4,4,15,18,0.25,3,Flowers & flower buds,Brassicaceae,Broccoli,0,"Clubroot,","Cabbage aphids,Cabbage root maggots,Cabbage worms,Cutworms,Flea beetles,Slugs,Snails,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,"April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/globe-basil-ocimum-basilicum-60x45.jpg
Good-King-Henry,Blitum bonus-henricus,"Poor-man's Asparagus, Perennial goosefoot, Lincolnshire spinach, Markery, English mercury, Mercury goosefoot",2,4,4,1,24,18,0.5,3,Leaf,Amaranthaceae,No group,1,"No serious disease problems,","No serious pest problems,","Acidic,Neutral,Slightly alkaline,","Loam,","Part shade,","Well-drained,",,,"August,July,June,May,September,","August,July,June,May,September,","August,July,June,May,September,","August,July,June,May,September,","April,August,July,June,May,September,","August,July,June,May,September,","April,August,July,June,May,September,","August,July,June,May,September,","April,August,July,June,May,October,September,","August,July,June,May,October,September,","April,May,October,September,","August,July,June,May,October,September,","April,March,October,September,","April,August,July,June,May,October,September,",,,,,https://cdn.sympathink.com/wp-content/uploads/globe-basil-ocimum-basilicum-60x45.jpg
Great Northern Bean,Phaseolus vulgaris,Large white bean,2,4,2,2,24,3.5,1.5,3,Podded,Fabaceae,Bean,0,"Bacterial blights,Bean common mosaic virus,White mold,","Aphids,Leafhoppers,Mexican bean beetles,Seedcorn maggots,Two-spotted spider mites,","Slightly acidic,","Loam,","Full sun,","Well-drained,",,,"July,June,May,","August,October,September,","July,June,May,","August,October,September,","June,May,","August,September,","April,June,May,","August,September,","April,June,May,","August,July,September,","April,June,May,","August,July,September,","April,March,October,September,","August,December,January,July,June,","April,March,October,September,","August,December,January,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/great-northern-bean-phaseolus-vulgaris-60x40.jpg
Greater Burdock,Arctium lappa,"Gobō, Edible burdock, Lappa, Beggar's buttons, Thorny burr, Happy major",1,1,1,1,108,18,0.25,2,Root and tuberous,Asteraceae,No group,0,"No serious disease problems,","No serious pest problems,","Neutral,","Sandy,","Full sun,","Well-drained,","June,","August,July,","June,May,","August,July,October,September,","June,May,","August,July,October,September,","June,May,","August,July,October,September,","June,May,","August,July,October,September,","June,May,","August,July,October,September,","April,May,","August,July,June,September,","April,May,","August,July,June,September,","February,March,","April,July,June,May,",,,https://cdn.sympathink.com/wp-content/uploads/greater-burdock-arctium-lappa-60x60.jpg
Greater musk-mallow,Malva alcea,"Cut-leaved mallow, vervain mallow, hollyhock mallow, mallow",2,2,2,2,48,12,0.5,4,Herbs,Malvaceae,No group,0,"Leaf spots,Rust,","Aphids,","Acidic,Alkaline,Neutral,","Chalky,Clay,Loam,Sandy,","Full sun,Part shade,","Well-drained,",,,,,"May,","August,July,","April,May,","August,July,June,","April,May,","August,July,June,","April,May,","August,July,June,","April,May,","August,July,June,",,,,,,,https://cdn.sympathink.com/wp-content/uploads/mallow-malva-alcea-60x45.jpg
Green bean,Phaseolus vulgaris,"Snap bean, French bean, string bean, snaps",2,2,3,1,24,2,1,3,Podded,Fabaceae,Bean,0,"Bacterial blights,Bean common mosaic virus,White mold,","Aphids,Leafhoppers,Mexican bean beetles,Seedcorn maggots,Two-spotted spider mites,","Slightly acidic,","Loam,","Full sun,","Well-drained,",,,"July,June,May,","August,October,September,","July,June,May,","August,October,September,","June,May,","August,September,","April,June,May,","August,September,","April,June,May,","August,July,September,","April,June,May,","August,July,September,","April,March,October,September,","August,December,January,July,June,","April,March,October,September,","August,December,January,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/green-bean-phaseolus-vulgaris-60x40.jpg
Green Cabbage,Brassica oleracea  var. capitata,,5,5,5,5,18,18,0.5,3,Leaf,Brassicaceae,Cabbage,0,"Black leg,Black rot,Cabbage yellows,Clubroot,Purple blotch,","Cabbage aphids,Cabbage root maggots,Cabbage worms,Cutworms,Flea beetles,Nematodes,Slugs,","Neutral,Slightly acidic,","Loam,","Full sun,","Well-drained,",,,"April,August,July,June,March,May,September,","August,July,June,May,October,September,","April,August,July,June,March,May,September,","August,July,June,May,October,September,","April,August,July,June,March,May,September,","August,July,June,May,November,October,September,","April,August,July,June,March,May,September,","August,July,June,May,November,October,September,","April,February,March,","July,June,May,","April,February,March,","July,June,May,","December,February,January,March,","April,February,July,June,March,May,","December,February,January,March,","April,February,July,June,March,May,",,,https://cdn.sympathink.com/wp-content/uploads/green-cabbage-brassica-oleracea-capitata-60x40.jpg
Green Fingers Persian Baby Cucumber,Cucumis sativus,,4,4,1,5,48,12,0.5,2,Fruits,Cucurbitaceae,Cucumber,0,"Anthracnose,Bacterial wilt,Cucumber mosaic virus,Downy mildew,Leaf spots,Powdery mildew,Scab,","Aphids,Spotted cucumber beetles,Squash vine borers,Striped cucumber beetles,","Neutral,","Loam,","Full sun,","Well-drained,","April,June,May,","August,July,","April,June,May,","August,July,June,","April,June,May,","August,July,June,","May,","August,July,","May,","August,July,","April,August,July,June,May,","August,July,October,September,","April,August,July,June,May,","August,July,October,September,","April,August,May,September,","July,June,May,November,October,","April,August,May,September,","July,June,May,November,October,",,,https://cdn.sympathink.com/wp-content/uploads/green-cabbage-brassica-oleracea-capitata-60x40.jpg
Green Globe Artichoke,Cynara cardunculus var. scolymus,Castel,5,4,5,4,48,30,0.5,3,Flowers & flower buds,Asteraceae,Artichoke,0,"No serious disease problems,","Aphids,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,"April,February,January,June,March,May,","August,September,","April,February,January,June,March,May,","August,September,","April,March,May,","August,September,","April,March,May,","August,September,","April,February,March,May,","August,September,","April,February,March,May,","August,September,","December,February,January,March,","July,June,May,",,,,,https://cdn.sympathink.com/wp-content/uploads/green-globe-artichoke-cynara-cardunculus-scolymus-60x45.jpg
Green Leaf Lettuce,Lactuca sativa,,5,5,5,5,10,8,0.5,3,Leaf,Asteraceae,Lettuce,0,"Damping off,Downy mildew,Fusarium,Mosaic virus,","Aphids,Cabbage loopers,Cutworms,Leafhoppers,Leafminers,Slugs,Wireworms,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,Part shade,","High moisture,Well-drained,",,,"April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,November,October,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,September,","April,August,December,February,January,July,June,March,May,October,September,","April,August,December,February,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,October,September,","April,August,December,February,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/green-leaf-lettuce-lactuca-sativa-60x60.jpg
Green Lentil,Lens culinaris,,2,2,3,2,21,4.5,0.5,3,Podded,Fabaceae,Lentil,0,"Ascochyta blight,","Aphids,Weevils,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Loose,Well-drained,",,,"July,June,May,","August,October,September,","July,June,May,","August,October,September,","June,May,","August,September,","April,June,May,","August,September,","April,June,May,","August,July,September,","April,June,May,","August,July,September,","April,March,October,September,","August,December,January,July,June,","April,March,October,September,","August,December,January,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/green-lentil-lens-culinaris-60x40.jpg
Green Onion,Allium cepa,"Scallion, spring onion, salad onion",3,3,4,3,24,1,0.25,3,Bulb & stem,Amaryllidaceae,Onion,0,"Purple blotch,","Onion maggots,","Neutral,","Loam,","Full sun,","Well-drained,",,,"April,March,May,","July,June,","April,March,May,","July,June,","April,February,March,May,","July,June,","April,February,March,May,","July,June,","April,February,March,May,","August,July,June,","April,February,March,May,","July,June,","December,February,January,March,November,","July,June,","December,February,January,March,November,","July,June,",,,https://cdn.sympathink.com/wp-content/uploads/green-onion-allium-cepa-60x45.jpg
Green Swiss Chard,Beta vulgaris subsp. vulgaris,,1,4,1,2,24,9,0.75,3,Leaf,Amaranthaceae,Chard,0,"Downy mildew,Leaf spots,","Aphids,Leafminers,","Neutral,Slightly acidic,","High in organic matter,Loam,","Full sun,Part shade,","Well-drained,",,,"August,July,June,May,","August,July,June,October,September,","August,July,June,May,","August,July,June,October,September,","April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,May,September,","August,July,June,May,September,","April,August,July,June,May,September,","August,July,June,May,September,","April,August,February,July,June,March,May,October,September,","April,August,December,July,June,March,May,November,October,September,","April,August,February,July,June,March,May,October,September,","April,August,December,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/green-swiss-chard-beta-vulgaris-60x45.jpg
Homemade Pickles Cucumber,Cucumis sativus,,4,5,1,5,8,12,0.5,2,Fruits,Cucurbitaceae,Cucumber,0,"Anthracnose,Bacterial wilt,Cucumber mosaic virus,Downy mildew,Leaf spots,Powdery mildew,Scab,","Aphids,Spotted cucumber beetles,Squash vine borers,Striped cucumber beetles,","Neutral,","Loam,","Full sun,","Well-drained,","April,June,May,","August,July,","April,June,May,","August,July,June,","April,June,May,","August,July,June,","May,","August,July,","May,","August,July,","April,August,July,June,May,","August,July,October,September,","April,August,July,June,May,","August,July,October,September,","April,August,May,September,","July,June,May,November,October,","April,August,May,September,","July,June,May,November,October,",,,https://cdn.sympathink.com/wp-content/uploads/green-swiss-chard-beta-vulgaris-60x45.jpg
Horseradish,Armoracia rusticana,,2,3,4,1,15,30,2,3,Root and tuberous,Brassicaceae,No group,0,"No serious disease problems,","No serious pest problems,","Neutral,Slightly acidic,","Loam,","Full sun,Part shade,","Well-drained,",,,"June,May,","September,","June,May,","September,","April,March,May,","August,July,November,October,September,","April,March,May,","August,July,November,October,September,","April,March,","August,July,October,September,","April,March,","August,July,October,September,",,,,,,,https://cdn.sympathink.com/wp-content/uploads/horseradish-armoracia-rusticana-60x50.jpg
Idaho Russet Potato,Solanum tuberosum (Phureja Group),,5,4,3,5,27,10,4,3,Root and tuberous,Solanaceae,Potato,0,"Early blight,Late blight,Scab,","Aphids,Colorado potato beetles,Flea beetles,Leafhoppers,","Acidic,","Sandy,","Full sun,","Loose,Well-drained,",,,"June,May,","August,July,October,September,","June,May,","August,July,October,September,","April,March,May,","August,July,June,May,October,September,","April,March,May,","August,July,June,May,October,September,","April,March,","August,July,June,May,September,","April,March,","August,July,June,May,September,","April,March,October,September,","August,December,July,June,May,November,October,September,","April,March,October,September,","August,December,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/idaho-russet-potato-solanum-tuberosum-60x80.jpg
Inca Gold Potato,Solanum tuberosum (Phureja Group),,5,4,3,5,27,10,4,3,Root and tuberous,Solanaceae,Potato,0,"Early blight,Late blight,Scab,","Aphids,Colorado potato beetles,Flea beetles,Leafhoppers,","Acidic,","Sandy,","Full sun,","Loose,Well-drained,",,,"June,May,","August,July,October,September,","June,May,","August,July,October,September,","April,March,May,","August,July,June,May,October,September,","April,March,May,","August,July,June,May,October,September,","April,March,","August,July,June,May,September,","April,March,","August,July,June,May,September,","April,March,October,September,","August,December,July,June,May,November,October,September,","April,March,October,September,","August,December,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/idaho-russet-potato-solanum-tuberosum-60x80.jpg
Jalapeno Pepper,Capsicum annuum,,2,3,4,2,36,18,0.25,3,Fruits,Solanaceae,Pepper,0,"Blossom-end rot,Cucumber mosaic virus,","Aphids,Borers,Tarnished plant bugs,","Neutral,","Loam,","Full sun,","Well-drained,",,,"April,June,March,May,","August,July,","April,June,March,May,","August,July,","April,February,March,May,","August,July,","April,February,March,May,","August,July,September,","April,February,March,May,","August,July,June,","April,February,March,May,","August,July,June,","April,December,March,","July,June,","April,December,March,","July,June,",,,https://cdn.sympathink.com/wp-content/uploads/idaho-russet-potato-solanum-tuberosum-60x80.jpg
Jersey Giant Asparagus,Asparagus officinalis,,4,2,5,3,84,21,8,3,Bulb & stem,Asparagaceae,Asparagus,3,"Crown rot,Fusarium wilt,Rust,","Asparagus beetles,","Neutral,","Loam,","Full sun,Part shade,","Loose soil,",,,"April,March,May,","June,","April,March,May,","June,","April,February,March,May,","May,","April,February,March,May,","May,","April,February,March,","April,May,","April,February,January,March,","April,May,","April,February,January,March,","April,May,",,,,,https://cdn.sympathink.com/wp-content/uploads/idaho-russet-potato-solanum-tuberosum-60x80.jpg
Jerusalem Artichoke,Helianthus tuberosus,"Sunroot, Sunchoke, Earth apple, Topinambour",2,1,3,3,78,14,12.5,2,Root and tuberous,Asteraceae,No group,0,"Sclerotinia stem rot (white mold),","Slugs,Snails,","Slightly alkaline,","Clay,Loam,Sandy,","Full sun,","Well-drained,","May,","September,","May,","September,","May,","September,","April,","August,September,","April,","August,September,","April,October,","August,February,March,September,","March,November,","April,August,July,March,","December,February,","April,July,June,May,",,,,,https://cdn.sympathink.com/wp-content/uploads/jerusalem-artichoke-helianthus-tuberosus-60x80.jpg
Jicama,Pachyrhizus erosus,"Mexican yam bean, Mexican turnip",2,4,3,1,180,12,0.25,7,Root and tuberous,Fabaceae,No group,0,"No serious disease problems,","No serious pest problems,","Alkaline,","Loam,","Full sun,","Well-drained,",,,,,,,,,,,"May,","November,","April,","October,","March,","September,","February,","August,",,,https://cdn.sympathink.com/wp-content/uploads/jicama-pachyrhizus-erosus-60x40.jpg
Katahdin Potato,Solanum tuberosum (Phureja Group),,5,4,3,5,27,10,4,3,Root and tuberous,Solanaceae,Potato,0,"Early blight,Late blight,Scab,","Aphids,Colorado potato beetles,Flea beetles,Leafhoppers,","Acidic,","Sandy,","Full sun,","Loose,Well-drained,",,,"June,May,","August,July,October,September,","June,May,","August,July,October,September,","April,March,May,","August,July,June,May,October,September,","April,March,May,","August,July,June,May,October,September,","April,March,","August,July,June,May,September,","April,March,","August,July,June,May,September,","April,March,October,September,","August,December,July,June,May,November,October,September,","April,March,October,September,","August,December,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/jicama-pachyrhizus-erosus-60x40.jpg
Kidney Bean,Phaseolus vulgaris,,2,4,3,2,33,3.5,1.5,3,Podded,Fabaceae,Bean,0,"Bacterial blights,Bean common mosaic virus,White mold,","Aphids,Leafhoppers,Mexican bean beetles,Seedcorn maggots,Two-spotted spider mites,","Slightly acidic,","Loam,","Full sun,","Well-drained,",,,"July,June,May,","August,October,September,","July,June,May,","August,October,September,","June,May,","August,September,","April,June,May,","August,September,","April,June,May,","August,July,September,","April,June,May,","August,July,September,","April,March,October,September,","August,December,January,July,June,","April,March,October,September,","August,December,January,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/kidney-bean-phaseolus-vulgaris-60x45.jpg
Kohlrabi,Brassica oleracea (Gongylodes group),"German turnip, turnip cabbage, noolkol",2,5,1,2,15,1,0.5,3,Bulb & stem,Brassicaceae,No group,0,"Alternaria,Black rot,Blackleg,Cabbage yellows,Clubroot,","Cabbage aphids,Cabbage loopers,Cabbage root maggots,Cabbage worms,Cutworms,Flea beetles,Nematodes,Slugs,Snails,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,"April,March,May,","July,June,","April,March,May,","July,June,","April,February,March,May,","July,June,","April,February,March,May,","July,June,","April,February,March,May,","July,June,","April,February,March,May,","July,June,","December,February,January,March,November,","July,June,","December,February,January,March,November,","July,June,",,,https://cdn.sympathink.com/wp-content/uploads/kohlrabi-brassica-oleracea-60x45.jpg
Lamb’s Quarters,Chenopodium album,"Lambsquarters, Melde, Pigweed, White goosefoot, Fat-hen, Bathua",1,1,1,1,28,Scatter,0 (don't cover),3,Leaf,Amaranthaceae,No group,0,"No serious disease problems,","No serious pest problems,","Acidic,Neutral,Slightly alkaline,","Loam,","Full sun,Part shade,","Well-drained,",,,"April,June,May,","August,July,June,May,","April,June,May,","August,July,June,May,","April,June,May,","August,July,June,May,","April,June,May,","August,July,June,May,","April,March,May,","April,August,July,June,May,","April,March,May,","April,August,July,June,May,","April,March,May,","April,August,July,June,May,","April,March,May,","April,August,July,June,May,",,,https://cdn.sympathink.com/wp-content/uploads/lambs-quarters-chenopodium-album-60x45.jpg
Lavender,Lavandula angustifolia,,2,5,2,2,15,21,0.5,5,Herbs,Lamiaceae,No group,0,"No serious disease problems,","Mealybugs,Scales,Spider mites,Whiteflies,","Alkaline,Neutral,Slightly acidic,","Loam,","Full sun,","Well-drained,",,,,,,,"April,February,March,May,","August,July,September,","April,February,March,May,","August,July,September,","April,February,March,May,","August,July,September,","April,February,March,May,","August,July,September,","April,December,February,January,March,","August,July,June,May,September,","April,December,February,January,March,","August,July,June,May,September,",,,https://cdn.sympathink.com/wp-content/uploads/lavender-lavandula-angustifolia-60x40.jpg
Leek,Allium porrum,,3,2,4,3,30,5,0.5,3,Bulb & stem,Amaryllidaceae,Leek,0,"Botrytis leaf blight (botrytis squamosa),Purple blotch,","Onion maggots,Thrips,","Slightly acidic,","Loam,","Full sun,Part shade,","Well-drained,",,,"April,March,May,","July,June,","April,March,May,","July,June,","April,February,March,May,","July,June,","April,February,March,May,","July,June,","April,February,March,May,","July,June,","April,February,March,May,","July,June,","December,February,January,March,November,","July,June,","December,February,January,March,November,","July,June,",,,https://cdn.sympathink.com/wp-content/uploads/leek-allium-porrum-60x45.jpg
